catalogue,source_file,ws,Technology,cat,par,unit,est,year,val,note,note_text,ref,ref_text
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Generating capacity for one unit [MW_e],MW_e,ctrl,2015,500.0,,,,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Generating capacity for one unit [MW_e],MW_e,ctrl,2020,500.0,,,,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Generating capacity for one unit [MW_e],MW_e,ctrl,2030,500.0,,,,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Generating capacity for one unit [MW_e],MW_e,ctrl,2050,500.0,,,,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,"Electrical efficiency (net, name plate) []",,ctrl,2015,0.46,C,Supercritical in 2010 and ultra-supercritical from 2020.,"[8, 7, 9, 11]","Danish Energy Agency, 2008. Measured data (1994-2006) from newest power plants in Denmark. || ""Energy technology perspectives 2008"", International Energy Agency, 2008. || Own estimate by Danish Energy Agency and Energinet.dk, 2011. || www.ad700.dk"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,"Electrical efficiency (net, name plate) []",,ctrl,2020,0.485,C,Supercritical in 2010 and ultra-supercritical from 2020.,"[8, 7, 9, 11]","Danish Energy Agency, 2008. Measured data (1994-2006) from newest power plants in Denmark. || ""Energy technology perspectives 2008"", International Energy Agency, 2008. || Own estimate by Danish Energy Agency and Energinet.dk, 2011. || www.ad700.dk"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,"Electrical efficiency (net, name plate) []",,ctrl,2030,0.52,C,Supercritical in 2010 and ultra-supercritical from 2020.,"[8, 7, 9, 11]","Danish Energy Agency, 2008. Measured data (1994-2006) from newest power plants in Denmark. || ""Energy technology perspectives 2008"", International Energy Agency, 2008. || Own estimate by Danish Energy Agency and Energinet.dk, 2011. || www.ad700.dk"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,"Electrical efficiency (net, name plate) []",,ctrl,2050,0.535,C,Supercritical in 2010 and ultra-supercritical from 2020.,"[8, 7, 9, 11]","Danish Energy Agency, 2008. Measured data (1994-2006) from newest power plants in Denmark. || ""Energy technology perspectives 2008"", International Energy Agency, 2008. || Own estimate by Danish Energy Agency and Energinet.dk, 2011. || www.ad700.dk"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cb coefficient (50°C/100°C),,ctrl,2015,0.75,A,"The Cb values have been calculated from the electricity efficiencies in condensation mode, the Cv values and a total efficiency (electricity plus heat) in full back-pressure mode of 90%. Cf. Annex 1.",,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cb coefficient (50°C/100°C),,ctrl,2020,0.84,A,"The Cb values have been calculated from the electricity efficiencies in condensation mode, the Cv values and a total efficiency (electricity plus heat) in full back-pressure mode of 90%. Cf. Annex 1.",,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cb coefficient (50°C/100°C),,ctrl,2030,1.01,A,"The Cb values have been calculated from the electricity efficiencies in condensation mode, the Cv values and a total efficiency (electricity plus heat) in full back-pressure mode of 90%. Cf. Annex 1.",,
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cv coefficient (50°C/100°C),,ctrl,2015,0.15,,,1,"Elsam, November 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cv coefficient (50°C/100°C),,ctrl,2020,0.15,,,1,"Elsam, November 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Cv coefficient (50°C/100°C),,ctrl,2030,0.15,,,1,"Elsam, November 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Technical lifetime [years],years,ctrl,2015,25.0,,,6,"""Projected costs of generating electricity"", International Energy Agency (IEA), 2005."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Technical lifetime [years],years,ctrl,2020,25.0,,,6,"""Projected costs of generating electricity"", International Energy Agency (IEA), 2005."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Technical lifetime [years],years,ctrl,2030,25.0,,,6,"""Projected costs of generating electricity"", International Energy Agency (IEA), 2005."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Technical lifetime [years],years,ctrl,2050,25.0,,,6,"""Projected costs of generating electricity"", International Energy Agency (IEA), 2005."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Construction time [years],years,ctrl,2015,4.5,,,"[2, 3, 3]","Elsam's and Elkraft's update of the Danish Energy Agency's 'Teknologidata for el- og varmeproduktionsanlæg', December 1997 || Eltra, September 2003 || Eltra, September 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Construction time [years],years,ctrl,2020,4.5,,,"[2, 3, 3]","Elsam's and Elkraft's update of the Danish Energy Agency's 'Teknologidata for el- og varmeproduktionsanlæg', December 1997 || Eltra, September 2003 || Eltra, September 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Energy/technical data,Construction time [years],years,ctrl,2030,4.5,,,"[2, 3, 3]","Elsam's and Elkraft's update of the Danish Energy Agency's 'Teknologidata for el- og varmeproduktionsanlæg', December 1997 || Eltra, September 2003 || Eltra, September 2003"
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Regulation ability,"Primary regulation (of full load, per 30 seconds) []",,ctrl,2015,0.05,D,Please refer to section 'Regulation ability' in the above qualitative description.,14,"DONG Energy, 2009."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Regulation ability,"Primary regulation (of full load, per 30 seconds) []",,ctrl,2020,0.05,D,Please refer to section 'Regulation ability' in the above qualitative description.,14,"DONG Energy, 2009."
"Technology Data for Generation of Electricity and District Heating, v0018",technology_data_for_el_and_dh_-_0018.xlsx,01 Coal CHP,"Coal power plant, supercritical - extraction - coal - medium",Regulation ability,"Primary regulation (of full load, per 30 seconds) []",,ctrl,2030,0.05,D,Please refer to section 'Regulation ability' in the above qualitative description.,14,"DONG Energy, 2009."
