catalogue,source_file,ws,Technology,cat,par,unit,est,year,val,note,note_text,ref,ref_text
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2020,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2025,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2030,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2035,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2040,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,ctrl,2050,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,Lower,2020,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,Upper,2020,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,Lower,2050,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Form of energy stored,,Upper,2050,Heat,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2020,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2025,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2030,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2035,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2040,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,ctrl,2050,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,Lower,2020,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,Upper,2020,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,Lower,2050,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Application,,Upper,2050,System,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2020,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2025,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2030,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2035,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2040,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,ctrl,2050,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,Lower,2020,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,Upper,2020,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,Lower,2050,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Energy storage capacity for one unit [MWh],MWh,Upper,2050,4500,,,,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2020,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2025,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2030,150,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2035,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2040,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,ctrl,2050,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,Lower,2020,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,Upper,2020,150,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,Lower,2050,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Output capacity for one unit [MW],MW,Upper,2050,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2020,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2025,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2030,150,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2035,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2040,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,ctrl,2050,200,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,Lower,2020,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,Upper,2020,150,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,Lower,2050,30,A,,5,
"Technology Data for Energy Storage, v0011",technology_datasheet_for_energy_storage_-_0011.xlsx,140 PTES seasonal,Pit Thermal Energy Storage [PTES],Energy/technical data,Input capacity for one unit [MW],MW,Upper,2050,200,A,,5,
